# All infantry equipment

equipments = {

	auto_equipment = {
		year = 1936
		is_archetype = yes
		picture = archetype_infantry_equipment		
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = yes
		
		#Misc Abilities
		reliability = 0.85
		maximum_speed = 4

		#Defensive Abilities
		defense = 18
		breakthrough = 5
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 13
		hard_attack = 1.5
		ap_attack = 2.5
		air_attack = 1

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 1.5
		resources = {
			steel = 3
		}
		
	}

	auto_equipment_0 = {
		year = 1918
		archetype = auto_equipment
		active = yes
		priority = 05
		visual_level = 0
	}



	# Regular infantry  1936
	auto_equipment_1 = {
		year = 1936
		archetype = auto_equipment
		parent = auto_equipment_0
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 24
		breakthrough = 6

		#Offensive Abilities
		soft_attack = 18
		hard_attack = 2
		ap_attack = 4
		air_attack = 1

		build_cost_ic = 2.2
	}

	# Improved weapons  ~1939
	auto_equipment_2 = {
		year = 1939
		archetype = auto_equipment
		parent = auto_equipment_1
		priority = 10
		visual_level = 2
		
		#Defensive Abilities
		defense = 30
		breakthrough = 7

		#Offensive Abilities
		soft_attack = 22
		hard_attack = 3
		ap_attack = 5
		air_attack = 1
		
		build_cost_ic = 2.6
		resources = {
			steel = 4
		}
	}
	
	# Advanced weapons  ~1942
	auto_equipment_3 = {
		year = 1942
		archetype = auto_equipment
		parent = auto_equipment_2
		priority = 10
		visual_level = 3
		
		#Defensive Abilities
		defense = 37
		breakthrough = 8

		#Offensive Abilities
		soft_attack = 24
		hard_attack = 4
		ap_attack = 7
		air_attack = 1
		
		reliability = 0.8
		build_cost_ic = 2.9
		resources = {
			steel = 4
		}
	}

	auto_equipment_4 = {
		year = 1946
		archetype = auto_equipment
		parent = auto_equipment_3
		priority = 10
		visual_level = 4
		
		#Defensive Abilities
		defense = 42
		breakthrough = 7

		#Offensive Abilities
		soft_attack = 26
		hard_attack = 5.5
		ap_attack = 9
		air_attack = 1
		
		reliability = 0.8
		build_cost_ic = 3.0
		resources = {
			steel = 4
		}
	}
	auto_equipment_5 = {
		year = 1951
		archetype = auto_equipment
		parent = auto_equipment_4
		priority = 10
		visual_level = 5
		
		#Defensive Abilities
		defense = 49
		breakthrough = 10

		#Offensive Abilities
		soft_attack = 28
		hard_attack = 6
		ap_attack = 10
		air_attack = 1
		
		reliability = 0.8
		build_cost_ic = 3.2
		resources = {
			steel = 5
		}
	}
	auto_equipment_6 = {
		year = 1956
		archetype = auto_equipment
		parent = auto_equipment_5
		priority = 10
		visual_level = 6
		
		#Defensive Abilities
		defense = 54
		breakthrough = 10

		#Offensive Abilities
		soft_attack = 30
		hard_attack = 8
		ap_attack = 11
		air_attack = 1
		
		reliability = 0.8
		build_cost_ic = 3.5
		resources = {
			steel = 5
		}
	}
	auto_equipment_7 = {
		year = 1961
		archetype = auto_equipment
		parent = auto_equipment_6
		priority = 10
		visual_level = 7
		
		#Defensive Abilities
		defense = 60
		breakthrough = 14

		#Offensive Abilities
		soft_attack = 32
		hard_attack = 5
		ap_attack = 10
		air_attack = 0
		
		reliability = 0.8
		build_cost_ic = 3.7
		resources = {
			steel = 6
		}
	}
	auto_equipment_8 = {
		year = 1965
		archetype = auto_equipment
		parent = auto_equipment_7
		priority = 10
		visual_level = 8
		
		#Defensive Abilities
		defense = 68
		breakthrough = 18

		#Offensive Abilities
		soft_attack = 35
		hard_attack = 4.5
		ap_attack = 10
		air_attack = 1
		
		reliability = 0.8
		build_cost_ic = 4.0
		resources = {
			steel = 6
		}
	}
}
